id,salary,age,rating,department
4.0,69477.91638265434,30.0,3.0,Marketing
12.0,48208.330906688425,22.0,2.0,Marketing
9.0,51162.58462306252,22.0,4.0,Engineering
7.0,79257.82227795811,,4.0,Executive
1.0,258745.25749770564,30.0,4.0,Executive
1.0,,22.0,3.0,Sales
1.0,,,,Sales
12.0,70296.46347838406,22.0,4.0,Executive
9.0,45193.4725677881,22.0,2.0,Marketing
9.0,51131.29690978892,52.0,4.0,Sales
1.0,65920.94142373926,22.0,4.0,Marketing
12.0,71378.96116858408,22.0,4.0,Marketing
12.0,336731.0447709579,22.0,4.0,Marketing
4.0,129800.628406352,22.0,4.0,Marketing
1.0,72152.28830267346,30.0,4.0,Marketing
1.0,244670.29413274754,22.0,,Sales
4.0,133656.21815484096,22.0,4.0,Sales
7.0,73460.43816441185,22.0,4.0,Engineering
7.0,260392.40117411886,52.0,4.0,Executive
4.0,77377.08944862738,22.0,4.0,Sales
9.0,146321.8254181448,22.0,4.0,Engineering
1.0,257291.91748287715,30.0,4.0,Marketing
4.0,48571.84466877304,30.0,,Engineering
4.0,59019.642009403215,22.0,4.0,Marketing
7.0,,22.0,4.0,Executive
9.0,54302.58990447485,22.0,4.0,Engineering
1.0,158346.34158677733,22.0,4.0,Engineering
7.0,250612.01368431243,22.0,3.0,Engineering
7.0,79009.71916321774,22.0,4.0,Engineering
1.0,69062.62066998152,22.0,4.0,Sales
9.0,75302.63127181887,22.0,4.0,Sales
1.0,64163.507759817134,52.0,,Engineering
1.0,66994.92454488715,45.0,4.0,Sales
12.0,63777.70629448832,22.0,4.0,Sales
12.0,,52.0,2.0,Engineering
12.0,72543.94174108769,30.0,2.0,Engineering
4.0,55704.92876978497,22.0,4.0,Sales
1.0,,22.0,3.0,Marketing
9.0,69609.09093944228,,,Marketing
7.0,318627.39608297625,22.0,4.0,Sales
1.0,347729.9872497933,22.0,3.0,Executive
7.0,81368.96737768759,22.0,4.0,Engineering
1.0,79879.64769813021,22.0,4.0,Marketing
12.0,59112.77731232005,52.0,4.0,Engineering
4.0,45589.782539124535,30.0,4.0,Executive
9.0,80392.58717874686,22.0,4.0,Marketing
4.0,61324.993893088336,52.0,,Marketing
7.0,81854.15456011372,52.0,4.0,Marketing
7.0,81738.4514002792,52.0,4.0,Sales
1.0,77521.43217660213,22.0,4.0,Sales
12.0,246851.0331070972,30.0,4.0,Marketing
9.0,59682.32683434036,22.0,4.0,Engineering
12.0,77450.0324055382,30.0,4.0,Marketing
12.0,57083.13163895776,52.0,3.0,Sales
7.0,318336.9628741106,30.0,4.0,Engineering
12.0,66228.5133311457,45.0,3.0,Sales
1.0,80691.34225520639,52.0,3.0,Engineering
1.0,71536.59249637106,45.0,2.0,Engineering
1.0,66734.0464808339,22.0,4.0,Engineering
4.0,48705.34775147969,22.0,4.0,Engineering
4.0,68447.61207995418,,,Engineering
4.0,82746.24115685941,52.0,4.0,Engineering
12.0,50341.194325641525,22.0,,Marketing
4.0,64761.78560076419,22.0,3.0,Sales
4.0,78450.2935314363,22.0,3.0,Engineering
7.0,149492.13225384042,22.0,2.0,Engineering
1.0,71574.18156196078,52.0,4.0,Marketing
12.0,71782.6617967533,52.0,4.0,Engineering
1.0,58706.07767205621,22.0,4.0,Marketing
12.0,56193.67071309355,52.0,3.0,Executive
9.0,75857.34346754612,22.0,3.0,Sales
1.0,75886.0225400566,22.0,2.0,Sales
1.0,78057.57795384654,30.0,,Engineering
12.0,79817.73898868094,22.0,2.0,Sales
9.0,64495.39699767333,22.0,4.0,Engineering
9.0,64120.777390181065,30.0,,Executive
9.0,75435.45380465961,22.0,4.0,Sales
1.0,69780.33423815662,22.0,4.0,Sales
4.0,338637.5058225201,22.0,3.0,Sales
1.0,75340.04578520951,22.0,4.0,Marketing
12.0,78931.89803146085,22.0,,Engineering
9.0,57886.5442302675,22.0,4.0,Sales
4.0,249944.26409546332,30.0,2.0,Executive
1.0,239208.24308256188,30.0,2.0,Marketing
4.0,,45.0,2.0,Sales
4.0,46370.79694210868,30.0,4.0,Engineering
9.0,139001.27034142392,30.0,4.0,Marketing
9.0,65688.7927829367,22.0,4.0,Sales
12.0,55924.867328562585,22.0,2.0,Sales
7.0,67525.98113211474,,4.0,Sales
1.0,46163.32012266064,,3.0,Sales
9.0,237049.084861802,22.0,4.0,Marketing
9.0,266986.7824626144,22.0,2.0,Executive
7.0,58732.74569188931,45.0,4.0,Sales
9.0,49844.674103571066,52.0,,Sales
7.0,64910.991649385665,22.0,4.0,Sales
7.0,74356.45608728747,22.0,4.0,Sales
7.0,243853.35068450292,22.0,,Marketing
1.0,259372.84795994466,52.0,4.0,Sales
1.0,48254.36676867084,52.0,3.0,Sales
