Unnamed: 0,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings.Source,Ratings.Value,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoMeter,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,tomatoURL,DVD,BoxOffice,Production,Website,Response
161,Once Upon a Time in America,1971,R,22 Jun 1966,101 min,"Animation, Action, Adventure",George Miller,Oliver Stone,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick",A police detective falls in love with the woman whose murder he is investigating.,"English, Japanese",USA,Won 6 Oscars. Another 231 wins & 208 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BYTNjN2M2MzYtZGEwMi00Mzc5LWEwYTMtODM1ZmRiZjFiNTU0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Internet Movie Database,8.3/10,74,8.1,"547,383",ID-1,movie,,,,,,,,,,,http://www.rottentomatoes.com/m/chinatown/,28 Jan 2014,,20th Century Fox,,True
109,The Lord of the Rings: The Fellowship of the Ring,2017,PG-13,29 Oct 1993,178 min,"Animation, Adventure, Comedy","Sam Wood, Edmund Goulding",Charles Chaplin,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa",A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,English,USA,Won 2 Oscars. Another 37 wins & 95 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BODZmYjMwNzEtNzVhNC00ZTRmLTk2M2UtNzE1MTQ2ZDAxNjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,8.1/10,,8.2,"272,500",ID-2,movie,,,,,,,,,,,http://www.rottentomatoes.com/m/man_who_shot_liberty_valance/,31 Mar 2009,,Paramount Pictures,,True
104,Modern Times,1980,R,01 Oct 1999,90 min,"Comedy, Musical, Romance",Stanley Kramer,"Donald Ogden Stewart (screen play), Philip Barry (based on the play by)","Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price",A New Orleans DA discovers there's more to the Kennedy assassination than the official story.,English,USA,Won 2 Oscars. Another 18 wins & 31 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_SX300.jpg,Internet Movie Database,8.5/10,,8.1,"28,038",ID-3,movie,,,,,,,,,,,http://www.rottentomatoes.com/m/marvels_the_avengers/,01 Jul 1998,"$381,000,185",New Line Cinema,,True
218,L.A. Confidential,1970,GP,10 Jul 1987,130 min,"Adventure, Comedy, Sci-Fi",Ridley Scott,"Gerry Conlon (autobiographical book ""Proved Innocent""), Terry George (screenplay), Jim Sheridan (screenplay)","Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey","A seemingly indestructible humanoid cyborg is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs.",English,USA,Won 4 Oscars. Another 26 wins & 8 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_SX300.jpg,Internet Movie Database,8.3/10,91,8.0,"494,215",ID-4,movie,,,,,,,,,,,http://www.rottentomatoes.com/m/dead_poets_society/,14 Jan 2014,"$47,611,331",Buena Vista,,True
143,Dog Day Afternoon,2007,R,24 Jun 1994,120 min,"Biography, Drama",Gore Verbinski,"Matt Damon, Ben Affleck","Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","English, French","USA, UK",Won 1 Oscar. Another 4 wins & 11 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTk4ODQ1MzgzNl5BMl5BanBnXkFtZTgwMTMyMzM4MTI@._V1_SX300.jpg,Internet Movie Database,8.1/10,78,8.1,"537,323",ID-5,movie,,,,,,,,,,,http://www.rottentomatoes.com/m/beauty_and_the_beast_1991/,16 May 2000,,Warner Bros. Pictures,,True
28,Hotel Rwanda,1940,R,04 Feb 2005,107 min,"Drama, Thriller",Charles Chaplin,"Gene Wilder (screen story and screenplay), Mel Brooks (screen story and screenplay), Mary Shelley (based on characters in the novel ""Frankenstein"" by)","Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio","Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.","English, Hindi, French","Germany, USA",Won 1 Oscar. Another 9 wins & 12 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_SX300.jpg,Internet Movie Database,8.3/10,83,8.7,"202,165",ID-6,movie,,,,,,,,,,,http://www.rottentomatoes.com/m/the_dark_knight/,13 Mar 2001,"$292,979,556",Warner Bros. Pictures,,True
250,Fargo,1991,NOT RATED,28 Mar 2003,116 min,"Crime, Drama, Mystery",Quentin Tarantino,"Abby Mann, Abby Mann (based on his original story by)","Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels",The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.,English,USA,6 wins & 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BODE1MDczNTUxOV5BMl5BanBnXkFtZTcwMTA0NDQyNA@@._V1_SX300.jpg,Internet Movie Database,8.2/10,78,8.0,"747,275",ID-7,movie,,,,,,,,,,,http://www.rottentomatoes.com/m/1002352-big_sleep/,09 Dec 1997,,Warner Bros. Pictures/Village Roadshow,http://www.foxmovies.com/fightclub/,True
187,Toy Story 3,2017,R,19 Sep 1997,101 min,"Biography, Drama, History",Sidney Lumet,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",A weatherman finds himself inexplicably living the same day over and over again.,English,Australia,Won 4 Oscars. Another 63 wins & 83 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOWQ0MjRmZmUtY2Q2Yi00ODcxLWE4NGMtMTNjMDY1YmUzMjVkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Internet Movie Database,8.1/10,79,8.0,"29,245",ID-8,movie,,,,,,,,,,,http://www.rottentomatoes.com/m/to_kill_a_mockingbird/,02 Nov 2004,,Paramount Pictures,http://www.indianajones.com/,True
72,JFK,1996,PG-13,03 Dec 1976,146 min,"Comedy, Drama, War",James Cameron,"Richard Linklater (screenplay), Julie Delpy (screenplay), Ethan Hawke (screenplay), Richard Linklater (story), Kim Krizan (story), Richard Linklater (characters), Kim Krizan (characters)","Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth","When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",English,USA,Won 1 Oscar. Another 13 wins & 15 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BODE1MDczNTUxOV5BMl5BanBnXkFtZTcwMTA0NDQyNA@@._V1_SX300.jpg,Internet Movie Database,8.1/10,94,8.5,"528,657",ID-9,movie,,,,,,,,,,,http://www.rottentomatoes.com/m/1009261-harvey/,11 Nov 2011,,Twentieth Century Fox Home Entertainment,,True
56,Chinatown,1939,APPROVED,17 Aug 1979,92 min,"Comedy, Romance",Richard Linklater,"Sean Penn (screenplay), Jon Krakauer (book)","Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva","A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.",English,"USA, UK",Won 5 Oscars. Another 74 wins & 74 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Internet Movie Database,8.0/10,80,8.3,"76,513",ID-10,movie,,,,,,,,,,,http://www.rottentomatoes.com/m/shining/,14 Dec 1999,,See-Saw Films,,True
